Regions,Population вensity per km2,Total population,Total population per 1k,"Regions, rus",Share of people with higher education. 2010. %,Median salary. 2019. rubles,Unemployment rate. 2017. %,Share of poor people. 2017. %,Gross regional product per capita. 2016. rubles,Terrorist_crimes_2017,Murders and attempted murders. 2017,Criminal possesion of weapons. 2017,Fertility rate. 2017,Museum attendance. 2010. per pop,"Share of people using internet everyday, 2016, %"
Adygea Republic,59.43,463088,463.088,Адыгея,20,23943,8.8,13.1,17450.16,0.4,0.31,1.26,1.52,0.197,40.161
Altai Republic,2.37,220140,220.14,Республика Алтай,18,24872,12,25.1,18489.39,0.14,1.75,5.39,2.36,0.174,39.2334
Altai region,13.79,2317153,2317.153,Алтайский край,17,23480,6.9,17.8,18098.68,0,0.68,2.4,1.64,0.181,43.1501
Amurskaya Oblast,2.18,790044,790.044,Амурская область,18,40376,5.9,14.9,30784.41,0.02,1.42,5,1.71,0.649,44.029
Arkhangelsk region,2.64,1092424,1092.424,Архангельская область,17,41030,6.5,14.1,32647.68,0.03,1.54,1.6,1.65,0.896,53.8225
Astrakhan region,20.52,1005782,1005.782,Астраханская область,18,26001,7.5,17.3,28674.24,0.27,0.54,0.96,1.73,0.302,44.5994
Bashkortostan Republic,28.25,4038151,4038.151,Башкортостан,17,30176,5.6,12.3,28479.05,0.11,0.8,1.34,1.7,0.207,43.4766
Belgorod region,57.09,1549151,1549.151,Белгородская область,21,29766,3.9,7.9,40644.79,0.01,0.44,1.37,1.39,0.654,37.3161
Bryansk region,34.21,1192491,1192.491,Брянская область,18,24571,4.4,13.3,20111.95,0.01,0.49,2.35,1.43,0.78,33.8959
Buryatia Republic,2.81,985937,985.937,Бурятия,21,31260,9.6,18.5,17491.45,0,2.97,3.32,2.06,0.412,42.6082
Chechen Republic,91.48,1478726,1478.726,Чечня,10,22501,14,20.6,10312.56,1.81,0.18,2.11,2.73,0.195,67.452
Chelyabinsk region,39.15,3466369,3466.369,Челябинская область,19,31245,6.6,14.2,31058.32,0.03,0.75,1.86,1.61,0.185,49.2983
Chukotka Autonomous Okrug,0.07,50288,50.288,Чукотский автономный округ,21,76865,2.9,10.2,113735.33,0,1.61,8.63,2.08,0.891,53.874
Chuvash Republic,66.39,1217818,1217.818,Чувашия,19,24069,5.1,19,18242.06,0.02,0.7,0.64,1.65,0.308,42.8083
Crimea Republic,73.33,1912622,1912.622,Крым,20,25901,6.4,19.1,14286.24,0.09,0.44,1.92,1.64,0.801,43.8115
Dagestan Republic,61.88,3110858,3110.858,Дагестан,17,20015,12,10.6,17075.76,1.75,0.23,7.47,1.91,0.169,45.4031
Ingushetia Republic,162.36,507061,507.061,Ингушетия,16,19954,27,31.6,9281.84,1.39,0.52,5.02,1.77,0.317,44.9688
Irkutsk region,3.09,2391193,2391.193,Иркутская область,20,37921,8.7,20,38199.91,0.02,1.12,1.86,1.86,0.355,45.0068
